TF	Target	Regulatory Mode
narL	nirQ	+
anr	nirS	+
dnr	nirS	+
anr	norB	+
dnr	norB	+
anr	norC	+
dnr	norC	+
PSPA7_RS29685	norC	?
dnr	nosD	+
dnr	nosF	+
dnr	nosL	+
dnr	nosR	+
dnr	nosY	+
dnr	nosZ	+
PSPA7_RS29685	nosZ	?
np20	np20	-
NrdR	nrdA	-
NrdR	nrdB	-
NrdR	nrdD	-
NrdR	nrdG	-
NrdR	nrdJa	-
NrdR	nrdJb	-
NtrC	ntrB	+
metR	ntrC	-
NtrC	ntrC	+
lasR	nuh	+
mvfR	opmD	?
soxR	opmD	+
mexT	oprD	-
anr	oprE	+
ihf	oprE	+
rpoN	oprE	+
algU	oprF	+
brlR	oprH	-
phoP	oprH	+
nfxB	oprJ	?
fur	oprL	-
toxR	oprL	+
mexR	oprM	-
nalC	oprM	-
nalD	oprM	?
mexT	oprN	+
algU	osmC	+
algU	osmE	?
lasR	PA0027	+
lasR	PA0028	+
lexA	PA0069	-
fur	PA0071	-
fur	PA0072	-
PA0120	PA0120	-
lasR	PA0122	+
PA0167	PA0136	-
PA0167	PA0137	-
PA0167	PA0138	-
lasR	PA0144	+
PA0167	PA0165	-
PA1520	PA0165	-
PA0167	PA0166	-
PA0167	PA0167	-
PA0167	PA0168	-
PSPA7_RS29685	PSPA7_RS01190	?
rpoS	PA0177	?
rpoS	PA0178	?
rhlR	PA0179	?
rpoS	PA0179	?
cysB	PA0185	?
pmrA	PA0201	+
PA0268	PA0269	-
PA0268	PA0270	-
algR	PA0328	+
argR	PA0328	+
pvdS	PA0346	+
PA0436	PA0439	-
PA0436	PA0440	-
PA0436	PA0443	-
PA0436	PA0444	-
fur	PA0473	?
fur	PA0473	?
PA1520	PA0476	-
birA	bioH	-
psrA	PA0506	-
psrA	PA0507	-
psrA	PA0508	-
dnr	PA0510	+
dnr	nirH	+
dnr	PA0513	+
anr	PA0521	+
anr	PA0522	+
anr	PA0526	?
gacA	RsmY	+
gacS	RsmY	+
PA0547	PA0547	-
bexR	PA0572	+
lasR	PA0572	+
metR	PA0633	-
vfr	PA0653	?
iscR	PA0665	-
metR	PA4223	+
fur	fptB	+
PA4165	PA4166	-
metR	PA4144	+
mexT	PA4141	+
tpbA	PA4139	-
PA4132	PA4133	-
PA4132	PA4129	-
np20	PA4063	-
phoP	PA4011	+
phoP	PA4010	+
algU	PA3952	+
algR	PA3934	+
argR	PA3934	+
anr	PA3928	?
CueR	PA3920	+
lasR	PA3908	+
lasR	PA3907	+
lasR	PA3906	+
lasR	PA3905	+
lasR	PA3904	+
algU	ivy/ PA3902	+
fur	PA3900	-
fur	PA3899	-
exsA	PA3843	+
exsA	PA3842	+
fur	PA3842	-
toxR	PA3842	+
algU	PA3819	+
iscR	PA3808	-
pvdS	PA3794	?
PA3757	PA3761	-
PA3757	PA3760	-
PA3757	PA3759	-
PA3757	PA3758	-
PA3757	PA3757	-
soxR	PA3718	+
PA3689	PA3690	+
phoP	PA3649	+
gacA	RsmZ	+
gacS	RsmZ	+
lexA	PA3616	-
np20	PA3601	-
np20	PA3600	-
psrA	PA3595	?
glpR	glpK1	?
phoP	PA3559	?
pmrA	PA3559	?
argR	PA3538	-
lasR	PA3535	+
fur	PA3530	+
CueR	PA3523	+
CueR	PA3522	+
phoP	PA3522	+
CueR	PA3521	+
pmrA	PA3518	-
pmrA	PA3517	-
pmrA	PA3516	-
pmrA	PA3515	-
pmrA	PA3446	+
lexA	PA3413	-
fur	PA3410	?
fur	PA3410	?
fur	PA3409	+
PA3381	PA3381	-
PA3381	PA3380	-
PA3381	PA3379	-
PA3381	PA3378	-
PA3381	PA3377	-
PA3381	PA3376	-
PA3381	PA3375	-
PA3381	PA3374	-
PA3381	PA3373	-
PA3381	PA3372	-
fliA	PA3352	?
mexT	PA3332	-
mexT	PA3331	-
lasR	PA3326	+
mexT	PA3326	-
anr	PA3309	?
phoP	PA3309	-
algU	PA3262	+
PA3249	PA3255	-
PA3249	PA3254	-
PA3249	PA3253	-
PA3249	PA3252	-
PA3249	PA3251	-
PA3249	PA3250	-
PA3249	PA3249	-
mexT	PA3229	+
mexT	PA3205	+
PA5438	PA3185	-
PA3184	PA3184	-
PA3184	PA3181	-
lexA	PA3008	-
psrA	PA2953	-
lasR	PA2939	+
PA1520	PA2938	-
cifR	PA2933	?
ospR	PA2826	-
mexT	PA2813	+
